Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
pc_2__reg_p_D_NOR2BX1P4H7R_AN_Z_DFFQX1H7R_D,1.2,3.868e-06,0.000e+00,8.283e-10,3.868e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_C0_OAI21X0P5H7R_Y_A1_AOA211X0P5H7R_Y,1.2,3.866e-06,0.000e+00,1.547e-10,3.866e-06
R[0]_7__reg_p,1.2,3.862e-06,0.000e+00,8.236e-10,3.863e-06
out_1__reg_p,1.2,3.861e-06,0.000e+00,8.452e-10,3.862e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y_A1_MUX2X8H7R_Y_B_XOR2X0P5H7R_Y_B_OA211X4H7R_A1_Y_DFFQX1H7R_D,1.2,3.859e-06,0.000e+00,8.274e-10,3.860e-06
pc_0__reg_p,1.2,3.859e-06,0.000e+00,8.426e-10,3.859e-06
pc_1__$_XOR__B_Y_$_MUX__A_Y_$_MUX__A_Y_DFFQX1H7R_D,1.2,3.857e-06,0.000e+00,8.615e-10,3.858e-06
R[0]_2__reg_p,1.2,3.857e-06,0.000e+00,8.380e-10,3.858e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_D_$_MUX__S_Y_DFFQX1H7R_D,1.2,3.854e-06,0.000e+00,8.292e-10,3.855e-06
pc_1__reg_p,1.2,3.853e-06,0.000e+00,8.489e-10,3.853e-06
R[0]_3__reg_p,1.2,3.853e-06,0.000e+00,8.615e-10,3.853e-06
R[0]_5__reg_p,1.2,3.852e-06,0.000e+00,8.239e-10,3.853e-06
R[3]_3__reg_p,1.2,3.852e-06,0.000e+00,8.615e-10,3.852e-06
R[0]_0__reg_p,1.2,3.851e-06,0.000e+00,8.380e-10,3.852e-06
R[3]_2__reg_p,1.2,3.851e-06,0.000e+00,8.615e-10,3.852e-06
pc_1__$_XOR__B_Y_$_MUX__A_Y_$_MUX__A_S_$_NAND__B_Y_$_AND__B_Y_DFFQX1H7R_D,1.2,3.851e-06,0.000e+00,8.281e-10,3.852e-06
R[1]_3__reg_p,1.2,3.850e-06,0.000e+00,8.380e-10,3.851e-06
R[1]_1__reg_p,1.2,3.850e-06,0.000e+00,8.358e-10,3.851e-06
R[2]_3__reg_p,1.2,3.849e-06,0.000e+00,8.380e-10,3.850e-06
R[1]_2__reg_p,1.2,3.847e-06,0.000e+00,8.380e-10,3.848e-06
R[2]_7__reg_p,1.2,3.845e-06,0.000e+00,8.421e-10,3.846e-06
R[2]_2__reg_p,1.2,3.845e-06,0.000e+00,8.380e-10,3.846e-06
R[1]_7__reg_p,1.2,3.845e-06,0.000e+00,8.236e-10,3.846e-06
R[3]_7__reg_p,1.2,3.845e-06,0.000e+00,8.421e-10,3.846e-06
R[0]_1__reg_p,1.2,3.844e-06,0.000e+00,8.615e-10,3.845e-06
R[3]_5__reg_p,1.2,3.842e-06,0.000e+00,8.426e-10,3.843e-06
R[3]_4__reg_p,1.2,3.841e-06,0.000e+00,8.424e-10,3.842e-06
R[3]_1__reg_p,1.2,3.841e-06,0.000e+00,8.590e-10,3.842e-06
R[2]_0__reg_p,1.2,3.841e-06,0.000e+00,8.380e-10,3.841e-06
R[2]_5__reg_p,1.2,3.840e-06,0.000e+00,8.426e-10,3.841e-06
pc_3__reg_p,1.2,3.840e-06,0.000e+00,8.515e-10,3.841e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_DFFQX1H7R_D,1.2,3.840e-06,0.000e+00,8.471e-10,3.841e-06
out_3__reg_p,1.2,3.840e-06,0.000e+00,8.464e-10,3.841e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_R_$_SDFF_PN0__R_D_$_ANDNOT__A_Y_$_OR__B_Y_DFFQX1H7R_D,1.2,3.840e-06,0.000e+00,8.457e-10,3.841e-06
R[2]_4__reg_p,1.2,3.840e-06,0.000e+00,8.424e-10,3.841e-06
R[2]_1__reg_p,1.2,3.840e-06,0.000e+00,8.358e-10,3.841e-06
R[1]_0__reg_p,1.2,3.839e-06,0.000e+00,8.380e-10,3.840e-06
R[1]_4__reg_p,1.2,3.839e-06,0.000e+00,8.238e-10,3.840e-06
R[1]_6__reg_p,1.2,3.839e-06,0.000e+00,8.216e-10,3.840e-06
R[2]_6__reg_p,1.2,3.839e-06,0.000e+00,8.389e-10,3.840e-06
R[1]_5__reg_p,1.2,3.838e-06,0.000e+00,8.239e-10,3.839e-06
